Country,Year,Years,"Multidimensional Poverty Index (MPI, HDRO)",MPI HDRO Percent,"Multidimensional Poverty Index (MPI, 2010)",MPI 2010 Percent,Population in Multidimensional Poverty,Intensity of Deprivation,Education Deprivation,Health Deprivation,Living Standards,Population Below National Poverty Line,Population Below $1.25 per Day
Afghanistan,2010,2009,0.293,58.8,0.353,66.2,"17,116",49.9,45.6,19.2,35.2,35.8,..
Albania,2008,2007,0.005,1.2,0.005,1.4,38,38.3,22.4,47.1,30.5,14.3,0.5
Argentina,2005,2004,0.015,3.7,0.011,2.9,"1,438",39.1,38.2,27.8,34,..,1.4
Armenia,2010,2009,0.002,0.6,0.001,0.3,18,37,3.4,87.8,8.7,32,1.8
Azerbaijan,2006,2005,0.009,2.4,0.021,5.3,210,38.2,20,50.7,29.3,5.3,0.3
Bangladesh,2011,2010,0.237,49.5,0.253,51.3,"75,610",47.8,28.4,26.6,44.9,31.5,43.3
Barbados,2012,2011,0.004,1.2,0.003,0.9,3,33.7,1.5,95.9,2.6,..,..
Belarus,2005,2004,0.001,0.4,0,0,41,34.5,2.6,89.7,7.7,5.5,0
Belize,2011,2010,0.03,7.4,0.018,4.6,23,41.2,36.2,34.8,29,..,..
Benin,2011,2010,0.343,64.2,0.307,62.2,"6,455",53.3,33.1,24.8,42.1,36.2,51.6
Bhutan,2010,2009,0.128,29.4,0.119,27.2,211,43.5,40.3,26.3,33.4,12,2.4
Bolivia (Plurinational State of),2008,2007,0.097,20.6,0.089,20.5,"2,022",47,21.9,27.9,50.2,45,8
Bosnia and Herzegovina,2011,2010,0.006,1.7,0.002,0.5,65,37.3,7.8,79.5,12.7,17.9,0
Brazil,2013,2012,0.011,2.9,,,"5,738",40.2,27.6,40.7,31.7,8.9,3.8
Burkina Faso,2010,2009,0.508,82.8,0.535,84,"12,875",61.3,39,22.5,38.5,46.7,44.5
Burundi,2010,2009,0.442,81.8,0.454,80.8,"7,553",54,25,26.3,48.8,66.9,81.3
Cambodia,2010,2009,0.211,46.8,0.212,45.9,"6,721",45.1,25.9,27.7,46.4,17.7,10.1
Cameroon,2011,2010,0.26,48.2,0.248,46,"10,187",54.1,24.5,31.3,44.2,39.9,27.6
Central African Republic,2010,2009,0.424,76.3,0.43,77.6,"3,320",55.6,23.8,26.2,50,62,62.8
Chad,2010,2009,0.545,86.9,0.554,87.2,"10,186",62.7,32.3,22.5,45.2,46.7,36.5
China,2012,2011,0.023,5.2,0.023,5.2,"71,939",43.3,30,36.6,33.4,..,6.3
Colombia,2010,2009,0.032,7.6,0.022,5.4,"3,534",42.2,34.3,24.7,41,30.6,5.6
Comoros,2012,2011,0.165,34.3,0.173,36,247,48.1,29.1,25.9,45,44.8,46.1
Congo,2011,2010,0.192,43,0.181,39.7,"1,866",44.7,10.6,32.8,56.6,46.5,32.8
Congo (Democratic Republic of the),2013,2012,0.369,72.5,0.401,75.1,"50,312",50.8,15.6,31,53.4,63.6,87.7
Côte d'Ivoire,2011,2010,0.307,59.3,0.31,58.7,"11,772",51.7,36.5,25.8,37.7,42.7,35
Djibouti,2006,2005,0.127,26.9,0.139,29.3,212,47.3,36.1,22.7,41.2,..,18.8
Dominican Republic,2013,2012,0.025,6,0.02,5.1,620,41.6,28.4,39.6,32,41.1,2.3
Ecuador,2013,2012,0.015,3.7,0.013,3.5,588,39.6,23.6,42.4,34,22.5,4
Egypt,2014,2013,0.016,4.2,0.014,3.6,"3,491",37.4,45.6,46.7,7.8,25.2,1.7
Ethiopia,2011,2010,0.537,88.2,0.564,87.3,"78,887",60.9,27.4,25.2,47.4,29.6,36.8
Gabon,2012,2011,0.073,16.7,0.07,16.5,273,43.4,15.2,43.8,40.9,32.7,6.1
Gambia,2013,2012,0.289,57.2,0.323,60.4,"1,058",50.5,32.9,30.9,36.2,48.4,33.6
Georgia,2005,2004,0.008,2.2,0.003,0.8,99,37.6,7.4,67.4,25.2,14.8,14.1
Ghana,2011,2010,0.144,30.5,0.139,30.4,"7,559",47.3,27.7,27.1,45.2,24.2,28.6
Guinea,2012,2011,0.425,73.8,0.459,75.1,"8,456",57.6,36.6,22.8,40.6,55.2,40.9
Guinea-Bissau,2006,2005,0.495,80.4,0.462,77.5,"1,168",61.6,30.5,27.9,41.6,69.3,48.9
Guyana,2009,2008,0.031,7.8,0.03,7.7,61,40,16.8,51.2,32,..,..
Haiti,2012,2011,0.242,50.2,0.248,49.4,"5,104",48.1,24.8,23.4,51.8,58.5,..
Honduras,2011,2010,0.098,20.7,0.072,15.8,"1,642",47.4,36.6,23.1,40.3,64.5,16.5
India,2005,2004,0.282,55.3,0.283,53.7,"631,999",51.1,22.7,32.5,44.8,21.9,23.6
Indonesia,2012,2011,0.024,5.9,0.066,15.5,"14,574",41.3,24.7,35.1,40.2,11.3,16.2
Iraq,2011,2010,0.052,13.3,0.045,11.6,"4,236",39.4,50.1,38.6,11.3,18.9,3.9
Jamaica,2010,2009,0.014,3.7,0.008,2,102,38.8,7.7,59.3,33,19.9,0.2
Jordan,2012,2011,0.004,1.2,0.006,1.7,85,35.3,31.5,65,3.5,14.4,0.1
Kazakhstan,2010,2009,0.004,1.1,0.001,0.2,173,36.4,4.3,83.9,11.8,2.9,0.1
Kenya,2008,2007,0.226,48.2,0.229,47.8,"19,190",47,11.2,32.4,56.4,45.9,43.4
Kyrgyzstan,2012,2011,0.006,1.8,0.007,2,96,36.9,6.6,70.5,22.9,37,5.1
Lao People's Democratic Republic,2011,2010,0.186,36.8,0.174,34.1,"2,447",50.5,37.7,25.4,36.9,23.2,30.3
Lesotho,2009,2008,0.227,49.5,0.156,35.3,984,45.9,14.8,33.8,51.4,57.1,56.2
Liberia,2013,2012,0.356,70.1,0.374,71.2,"3,010",50.8,23,25.6,51.4,63.8,83.8
Libya,2007,2006,0.005,1.4,0.006,1.5,79,37.5,31.9,47.9,20.2,..,..
Madagascar,2008,2007,0.42,77,0.357,66.9,"15,774",54.6,31.6,24.5,43.9,75.3,87.7
Malawi,2010,2009,0.332,66.7,0.334,66.7,"10,012",49.8,18.9,27.7,53.4,50.7,72.2
Maldives,2009,2008,0.008,2,0.018,5.2,6,37.5,27.8,60.2,11.9,..,1.5
Mali,2012,2011,0.456,78.4,0.457,77.7,"11,998",58.2,37.9,22.4,39.7,43.6,50.6
Mauritania,2011,2010,0.291,55.6,0.285,52.2,"2,060",52.4,34.5,20.3,45.3,42,23.4
Mexico,2012,2011,0.024,6,0.011,2.8,"7,272",39.9,31.4,25.6,43,52.3,1
Moldova (Republic of),2012,2011,0.004,1.1,0.003,0.8,38,38.4,11,66.9,22.1,12.7,0.2
Mongolia,2010,2009,0.047,11.1,0.037,9.2,302,42.5,18.1,27.7,54.2,27.4,..
Montenegro,2013,2012,0.002,0.5,0.001,0.3,3,38.9,22,59.9,18.1,11.3,0.2
Morocco,2011,2010,0.069,15.6,0.067,15.4,"5,016",44.3,44.8,21.8,33.4,8.9,2.57
Mozambique,2011,2010,0.39,70.2,0.389,69.6,"17,246",55.6,30.4,22.3,47.3,54.7,60.7
Namibia,2013,2012,0.205,44.9,0.193,42,"1,034",45.5,11,39.2,49.8,28.7,23.5
Nepal,2011,2010,0.197,41.4,0.217,44.2,"11,255",47.4,27.3,28.2,44.5,25.2,23.7
Nicaragua,2011,2010,0.088,19.4,0.072,16.1,"1,146",45.6,37.8,12.6,49.6,42.5,8.5
Niger,2012,2011,0.584,89.8,0.605,89.3,"15,408",65,35.9,24,40,48.9,40.8
Nigeria,2013,2012,0.279,50.9,0.303,53.2,"88,425",54.8,29.8,29.8,40.4,46,62
Pakistan,2012,2011,0.237,45.6,0.23,44.2,"83,045",52,36.2,32.3,31.6,22.3,12.7
"Palestine, State of",2010,2009,0.007,1.9,0.006,1.5,75,37.4,13.9,68.8,17.3,25.8,0.1
Peru,2012,2011,0.043,10.4,0.043,10.5,"3,132",41.4,19.4,29.8,50.8,23.9,2.9
